Hotel / Nombre,Ciudad,Motor Reservas,Pitch / Dolor,Rating GBP,Reviews,Score,Teléfono,Website,discovery_questions,draft_email,draft_whatsapp,evidence_links,scan_automations_to_sell,scan_completed_at,scan_quickwins_30d,scan_quickwins_48h,scan_quickwins_7d,scan_requested,scan_requested_at,scan_score,scan_status,scan_summary,scan_top_issues
Hotel Ametlla Mar,Desconocida,,"¡Hola, equipo del Hotel Ametlla Mar! He visto que para reservar en vuestra web hay que rellenar un formulario de solicitud. Entiendo que esto puede hacer que muchos clientes se vayan a Booking por la inmediatez, subiendo vuestras comisiones. ¿Os parece si os envío un pantallazo rápido de cómo podríais evitarlo y captar esas reservas directamente? Sin ningún compromiso.","3,6",5618,"59,5",977 45 77 91,https://www.hotelametllamar.com/,,,,,,,,,,No,,,,,
Can Salvador,Mont-roig del Camp,,"¡Hola! He visto la buena nota de 4.2 que tenéis en Google, ¡felicidades! Me he fijado que en vuestra web no se pueden hacer reservas directas, y esto os puede estar costando mucho dinero en comisiones a terceros. Si os parece, os envío un pantallazo rápido de cómo podríais solucionarlo para captar más clientes directos, sin compromiso. ¿Os va bien?","4,2",372,"59,5",977 81 05 21,https://hotelcansalvador.net,,,,,,,,,,No,,,,,
Palas Pineda,La Pineda,,¡Hola! Os escribo por vuestro hotel Palas Pineda. He visto que vuestra web podría estar perdiendo reservas directas por un pequeño detalle técnico que hace que los clientes desconfíen al intentar reservar. Esto os obliga a depender más de portales que cobran comisión. ¿Os puedo enviar un pantallazo rápido de lo que ven vuestros clientes para que lo veáis? Sin compromiso.,4,4540,"59,5",977 37 08 08,http://www.palaspineda.com/,,,,,,,,,,No,,,,,
Hotel Piqué,Gandesa,,"¡Buenas! Me encanta la propuesta del Hotel Piqué en plena Terra Alta. Vemos que tenéis mucho potencial para conseguir reservas directas desde vuestra web y así no depender tanto de las comisiones de portales. ¿Os va bien si os envío un ejemplo rápido de cómo se vería, sin ningún compromiso?",4,1348,"59,5",977 42 00 68,https://www.hotelpique.com,,,,,,,,,,No,,,,,
Hotel Vistamar Costa Dorada,Desconocida,,"¡Hola! He visto vuestro hotel Vistamar, las vistas en primera línea son una pasada. He notado que en la web no se puede reservar directamente, y muchos clientes se pierden ahí o se van a portales con comisión. ¿Os puedo enviar un pantallazo de cómo podríais capturar esas reservas directamente, sin compromiso?",4,1130,"59,5",951 98 93 15,https://www.hotelvistamar.es/,,,,,,,,,,No,,,,,
Figuerola Resort & Spa,Desconocida,,"¡Hola! Soy David, de la zona. He visto vuestra web y detectado un par de detalles técnicos que seguramente os hacen perder reservas directas y depender más de portales con altas comisiones. Es algo muy común y con fácil solución. ¿Os puedo pasar un pantallazo rápido sin compromiso para que veáis a qué me refiero?","3,9",1366,"59,5",977 10 01 22,http://www.figuerolaresort.com/,,,,,,,,,,No,,,,,
Hostal Cal Franciscó,Gósol,,"¡Hola! Vi vuestra buena nota de 4.2 en Google, ¡felicidades! He echado un ojo a vuestra web y creo que con un par de ajustes podríais recibir muchas más reservas directas, sin pagar comisiones a terceros. ¿Os puedo enviar un pantallazo rápido, sin compromiso, para que veáis a lo que me refiero?","4,2",811,"59,5",646 58 36 70,http://www.hostalcalfrancisco.com,,,,,,,,,,No,,,,,
Rosaleda,Fondarella,,"¡Hola! He visto vuestro hotel Rosaleda y la buena nota que tenéis en Google, ¡felicidades! Me llamó la atención que la web no transmite esa misma seguridad para reservar, y eso puede estar haciendo que perdáis reservas directas. ¿Os puedo pasar un pantallazo rápido para que veáis a qué me refiero? Sin compromiso.",4,170,"59,5",626 68 10 73,http://www.hotelrosaleda.es/,,,,,,,,,,No,,,,,
Hostal la Placeta,Arbeca,,"¡Hola! Vi que tenéis una nota genial de 4.4 en Google, ¡enhorabuena! Me preguntaba si estáis cansados de las altas comisiones de los portales de reservas. Hemos ayudado a hostales como el vuestro a recuperar el control. ¿Os puedo enviar un pantallazo rápido de cómo funcionaría para vosotros, sin compromiso?","4,4",242,"59,5",616 60 42 25,https://www.escapatarbeca.com/,,,,,,,,,,No,,,,,
Hotel Aire de Colldejou,Desconocida,,¡Hola! He estado en la web de Aire de Colldejou. Tenéis un lugar con mucho encanto. He visto que las reservas son por formulario y me preguntaba si no perdéis clientes que quieren confirmar al momento. ¿Os parece si os envío un pantallazo de cómo podríais automatizarlo para no depender de emails o llamadas? Es sin compromiso.,4,173,"59,5",977 83 72 87,http://www.airedecolldejou.com/,,,,,,,,,,No,,,,,
Hotel Restaurant Picnic,Vilanova de la Barca,,¡Buenas! Os escribo por vuestro Hotel Restaurant Picnic. He visto en vuestra web un pequeño detalle técnico que os está haciendo perder reservas directas. Es algo muy sencillo de corregir para que no se os escape ni un cliente. ¿Os puedo pasar un pantallazo rápido para que lo veáis? Sin compromiso.,4,5347,"59,5",687 49 44 94,,,,,,,,,,,No,,,,,
Hotel Restaurant Ciutat de Tàrrega,Tàrrega,,"Hola, equipo del Ciutat de Tàrrega. He visto vuestra web y las instalaciones renovadas, ¡muy buena pinta! Me fijé que no tenéis un sistema de reservas propio y seguramente dependéis de portales externos. Si os parece, os paso un pantallazo rápido de cómo podríais evitar esas comisiones y gestionar todo desde vuestra web, sin ningún compromiso. ¿Os interesa?","3,8",315,"59,5",973 31 47 37,https://hotelciutattarrega.com,,,,,,,,,,No,,,,,
Hotel Santuari,Balaguer,,"¡Hola! Felicidades por la buena nota de 4.3 en Google para el Hotel Santuari. He visto que vuestra web no permite cerrar la reserva directamente, y sé la faena (y el coste) que es depender de portales externos. ¿Os parece si os envío un pantallazo rápido de cómo podríais empezar a recibir reservas directas desde vuestra propia web, sin compromiso? Un saludo.","4,3",406,"59,5",973 44 96 17,https://www.hotelsantuari.com/,,,,,,,,,,No,,,,,
Ciutat d'Amposta,Amposta,,"¡Hola! Viendo vuestra web, ¡felicidades por la nota de 4.2 en Google! Me preguntaba si os gustaría recibir más reservas directas y reducir las comisiones que pagáis a terceros. Hemos ayudado a hoteles de la zona con esto. ¿Os puedo pasar un pantallazo rápido de cómo podría funcionar para vosotros, sin compromiso?","4,2",588,"59,5",977 70 85 56,https://www.hotelciutatamposta.es/,,,,,,,,,,No,,,,,
Hotel Vall Ferrera,Desconocida,,"¡Hola! Veo que estáis en un enclave espectacular en la Vall Ferrera. Vuestra web anima a llamar para conseguir un descuento, pero muchos viajeros abandonan si no pueden reservar online al momento. ¿Os puedo enviar un pantallazo de cómo podríais automatizar esas reservas directas y llenar el hotel sin comisiones? Sin compromiso.",4,486,"59,5",973 62 43 43,https://www.hotelvallferrera.com/,,,,,,,,,,No,,,,,
La Garbinada,Granyena de les Garrigues,,"Hola, ¿qué tal? Vi que vuestra web (garbinada.com) está caída y me sabe mal porque seguro que estáis perdiendo reservas directas. Sé lo frustrante que es depender solo del teléfono o portales. ¿Os puedo pasar un pantallazo rápido, sin compromiso, de cómo podríais tenerla funcionando y captando clientes esta misma semana?","3,9",491,"59,5",973 13 62 75,https://garbinada.com/,,,,,,,,,,No,,,,,
Hotel Sommelier Hostelera,Granyanella,,"¡Hola! He estado viendo vuestra web de Sommelier Hostelera. Me da la sensación de que podríais estar perdiendo reservas directas por no tener un sistema de reservas integrado. Es un problema común en la zona. ¿Os parece si os envío un pantallazo de cómo se vería una solución para vosotros, sin ningún compromiso?","3,7",436,"59,5",973 53 37 00,https://www.sommelierhostelera.es/,,,,,,,,,,No,,,,,
Ona Jardines Paraisol,Salou,,"¡Hola! He visto la buena nota de 4.2 que tenéis en Google con los apartamentos Paraisol, ¡enhorabuena! Imagino que con esa reputación, el reto es que más clientes os reserven directamente en la web en lugar de irse a Booking. Tenemos una idea muy visual para eso. ¿Te puedo enviar un pantallazo rápido sin compromiso para que veas a qué me refiero?","4,2",1027,"59,5",877 08 06 90,https://www.onahotels.com/apart-hotel-jardines-paraisol-salou.html,,,,,,,,,,No,,,,,
Best Da Vinci Royal,Salou,,"¡Hola! Vi la buena nota que tenéis en Google con el Best Da Vinci Royal. Me fijé en un detalle técnico en vuestra web que, al corregirlo, podría aumentaros las reservas directas. Es algo que genera desconfianza justo antes de pagar. ¿Os va bien si os envío un pantallazo rápido que lo muestra? Sin compromiso.","4,2",1978,"59,5",977 35 06 39,http://www.besthotels.es/mobile/es/hotel-costa-dorada/da-vinci-royal/14,,,,,,,,,,No,,,,,
Hotel NH Ciutat de Reus,Desconocida,,"¡Hola! Vi que tenéis una nota genial de 4.1 en Google, ¡enhorabuena! He visto un pequeño detalle técnico en vuestra web que puede estar haciendo que perdáis reservas directas, justo cuando el cliente está listo para decidirse. ¿Os puedo mandar un pantallazo rápido para que lo veáis, sin ningún compromiso?","4,1",1279,"59,5",977 34 53 53,http://www.nh-hoteles.es/nh/es/hoteles/espana/reus/nh-ciutat-de-reus.html,,,,,,,,,,No,,,,,
Sol Costa Daurada,Salou,,"¡Hola! Enhorabuena por la notaza en Google del Sol Costa Daurada. Muchos hoteles top como vosotros buscan siempre cómo convertir esas valoraciones en más reservas directas de grupos y eventos, que son más rentables. Tenemos una idea para vuestra página. ¿Os paso un pantallazo sin compromiso para que la veáis?","4,2",4255,"59,5",977 01 14 00,https://www.melia.com/es/hoteles/espana/salou/sol-costa-daurada,,,,,,,,,,No,,,,,
Salou Park,Salou,,"¡Hola! He estado viendo la web de Salou Park. Imagino que como a otros hoteles de la zona, os gustaría recibir más reservas directas y depender menos de comisiones. Tengo una idea muy visual para vuestro caso. ¿Os va bien si os envío un pantallazo rápido para que lo veáis, sin ningún compromiso?","3,9",2217,"59,5",977 35 18 73,http://www.saloupark.com,,,,,,,,,,No,,,,,
Casa Miquel,Desconocida,,"¡Hola! He visto vuestra web y me parece que tenéis un complejo con mucha historia en una ubicación clave. Sé que las comisiones de portales como Booking duelen. ¿Os puedo enviar un pantallazo de cómo podríais recibir reservas directas sin pagar un céntimo de comisión, sin compromiso?","3,4",1237,"59,5",973 79 16 27,,,,,,,,,,,No,,,,,
Hotel Zenit,Lleida,,"¡Hola! He visto que tenéis una nota genial de 4.1 en Google, ¡enhorabuena! Analizando vuestra web, me da la sensación de que el proceso para reservar como particular puede desviar a muchos clientes hacia Booking.com. Creo que con un ajuste sencillo podríais capturar esas reservas directamente. ¿Os parece si os envío un pantallazo con la idea, sin compromiso?","4,1",1794,"59,5",973 22 91 91,https://lleida.zenithoteles.com/en/,,,,,,,,,,No,,,,,
Refugi de la Restanca,Desconocida,,"¡Hola! He visto la buena nota de 4.2 que tenéis en Google. El tema es que vuestro portal de reservas no le hace justicia y el aviso de 'web no segura' puede estar asustando a clientes. Si os parece, os preparo un pantallazo rápido de cómo podríais tener un sistema propio y seguro para gestionar las reservas directas. ¿Os lo paso sin compromiso?","4,2",358,"59,5",681 15 35 35,,,,,,,,,,,No,,,,,
Ibis Lleida,Desconocida,,"¡Hola Carlos! Vi que tenéis muy buena nota en Google y que sois una opción genial para los que van al Circuito de Alcarràs. Imagino que depender de la central de Accor a veces os limita para lanzar ofertas directas y rápidas para estos grupos. ¿Te puedo pasar un pantallazo de cómo podríais captarlos de forma directa, sin intermediarios y sin compromiso?","4,1",3321,"59,5",973 21 20 40,,,,,,,,,,,No,,,,,
Refugi de Colomèrs,Desconocida,,"¡Hola! He visto vuestro refugio en Colomèrs, el sitio es espectacular. Noto que la web tiene potencial para conseguir muchas más reservas directas y no depender de portales externos. ¿Os puedo enviar un pantallazo rápido con una idea para lograrlo, sin compromiso? Un saludo.",4,350,"59,5",973 98 91 59,https://www.refugicolomers.com/,,,,,,,,,,No,,,,,
Hotel Vielha Baqueira Affiliated By Meliá,Vielha ' Vall d'Aran,,"¡Hola! Enhorabuena por la nota de 4.2 en Google. Vemos que muchos hoteles afiliados a grandes cadenas luchan por conseguir reservas directas sin ceder un gran margen. Hemos ayudado a hoteles como el vuestro a crear un canal propio para eventos y grupos, quedándose el 100% del ingreso. ¿Os puedo enviar un pantallazo de cómo funciona, sin compromiso?","4,2",1553,"59,5",973 63 80 00,https://www.melia.com/es/hoteles/espana/vielha-valle-de-aran/hotel-vielha-baqueira-by-melia,,,,,,,,,,No,,,,,
Ibis Styles Lleida Torrefarrera,Desconocida,,"¡Hola! Felicidades por esa nota de 4.2 en Google. Imagino que da rabia que con esa reputación, muchas reservas se vayan por la central de Accor o Booking, con las comisiones que se llevan. Hay una forma muy sencilla de desviar ese tráfico para que os reserven directamente a vosotros. ¿Os puedo pasar un pantallazo rápido para que veáis a qué me refiero, sin compromiso?","4,2",1556,"59,5",973 75 03 38,https://www.accorhotels.com/,,,,,,,,,,No,,,,,
Refugi Rosta,Desconocida,,"¡Buenas! Veo que Refugi Rosta tiene una historia increíble. Vuestra web se ha quedado algo anticuada (es http) y seguramente os hace perder reservas directas. Hemos ayudado a alojamientos con encanto a llenar desde su propia web, sin intermediarios. ¿Os puedo pasar un pantallazo de cómo se vería, sin compromiso?","4,2",161,"59,5",973 64 53 08,http://www.refugirosta.com,,,,,,,,,,No,,,,,
Hostal Pas de la Pera,Aranser,,"¡Hola! Veo que tenéis una nota genial de 4.2 en Google, ¡enhorabuena! Me he fijado en que no se puede reservar directamente en vuestra web, y me imagino que eso os hace perder reservas o pagar comisiones. ¿Os puedo enviar un pantallazo de cómo podríais solucionarlo, sin ningún compromiso?","4,2",212,"59,5",973 51 50 01,https://www.pasdelapera.com,,,,,,,,,,No,,,,,
Hotel Restaurant Pedra Negra,Desconocida,,"¡Hola, equipo de Pedra Negra! He estado mirando vuestra web y creo que se os escapan reservas por no tener un sistema de venta directa. Es una pena, porque el potencial está ahí. ¿Os puedo pasar un pantallazo rápido, sin compromiso, de cómo podríais solucionarlo y aumentar vuestros ingresos directos?","3,6",1419,"59,5",973 46 00 19,,,,,,,,,,,No,,,,,
Ibis Budget Lleida,Desconocida,,"¡Hola! Vi vuestra buena nota de 4.2 en Google y que sois un referente en Lleida. Vemos que todo vuestro escaparate online depende de la web de Accor, ¿os gustaría captar más reservas directas sin tanta intermediación? ¿Os puedo pasar un pantallazo rápido de cómo podríais tener un canal propio para el hotel? Sin compromiso.","4,2",467,"59,5",973 21 41 80,,,,,,,,,,,No,,,,,
Hotel Salou Sunset by Pierre & Vacances,Desconocida,,"Hola. Viendo vuestro hotel en Salou, imagino que depender de la central de Pierre & Vacances para las reservas os resta bastante margen y control. Hemos ayudado a hoteles como el vuestro a crear un canal propio para captar grupos y eventos directamente, sin intermediarios. ¿Os parece si os envío un pantallazo rápido para que veáis la idea? Sin compromiso.","3,8",1391,"59,5",977 35 39 78,https://www.pierreetvacances.com/es-es/fp_EFO_alquiler-apartamentos-hotel-hotel-salou-sunset,,,,,,,,,,No,,,,,
Apartamentos Costa d'Or,Calafell,,"¡Buenas! Felicidades por la nota de 4.1 en Google para Apartamentos Costa d'Or. He visto vuestra web y me da la sensación de que se os escapan reservas directas por no tener un motor propio, yendo todo a portales con comisiones. ¿Os parece si os envío un pantallazo de cómo quedaría, sin ningún compromiso?","4,1",193,"59,5",977 69 21 00,https://www.hacostador.com,,,,,,,,,,No,,,,,
CYE Holiday Center Aparthotel,Desconocida,,"¡Hola! Felicidades por la nota de 4.1 en Google para vuestros apartamentos en Salou. Imagino que el reto es desviar más reservas de las OTAs a vuestra propia web para ahorrar comisiones. Hemos visto un par de puntos en vuestro proceso de reserva que se pueden mejorar fácilmente para que más visitas finalicen la compra. ¿Os parece si os envío un pantallazo rápido con la idea, sin compromiso?","4,1",989,"59,5",977 38 86 68,https://www.cyesalou.com/,,,,,,,,,,No,,,,,
Hotel Balaguer,Balaguer,,¡Hola! Vi vuestra buena nota de 4.1 en Google y al entrar en la web me salió un error de 'página movida'. Estáis perdiendo reservas directas por esto. ¿Os puedo pasar un pantallazo rápido de cómo se podría solucionar para que no dependáis solo de las OTAs? Sin compromiso.,"4,1",437,"59,5",973 44 57 50,http://www.hotelbalaguer.com,,,,,,,,,,No,,,,,
La Glorieta,Desconocida,,¡Hola! Soy experto en digital para hostelería aquí en Tarragona. He visto vuestra web y creo que estáis perdiendo reservas directas por un par de detalles técnicos muy fáciles de solucionar. ¿Os puedo pasar un pantallazo rápido sin compromiso para que veáis a qué me refiero?,"3,9",644,"59,5",973 35 10 45,http://www.hotelhostallaglorieta.com,,,,,,,,,,No,,,,,
Mas Taniet,Benissanet,,"¡Hola! Qué encanto de sitio tenéis con Mas Taniet. Vemos que tenéis mucho potencial para conseguir más reservas directas y no depender de intermediarios. ¿Os parece si os envío un pantallazo rápido con una idea para vuestra web, sin compromiso? ¡Un saludo!","4,2",205,"59,5",977 40 76 04,http://www.mastaniet.com/,,,,,,,,,,No,,,,,
Hotel Nadal,Lleida,,"¡Hola! He visto la web del Hotel Nadal. Imagino que, como muchos hoteles de la zona, una buena parte de las reservas os llegan a través de portales, con las comisiones que eso supone. Tenemos una forma muy sencilla de potenciar la reserva directa desde vuestra propia página. ¿Os puedo enviar un pantallazo rápido de cómo se vería, sin ningún compromiso?","3,9",1532,"59,5",973 07 07 99,https://hotelnadal.es/,,,,,,,,,,No,,,,,
Refugi d'Estany Llong,Desconocida,,"¡Hola! Vi vuestro refugio en el portal de 'la central de refugis'. Muchos refugios pierden reservas directas y pagan comisiones por no tener una web propia y sencilla. Los clientes os buscan, pero acaban reservando por el portal. ¿Os puedo pasar un pantallazo rápido de cómo podríais gestionar vuestras propias reservas directamente, sin intermediarios y sin compromiso? Un saludo.","3,8",223,"59,5",973 64 16 81,,,,,,,,,,,No,,,,,
Hotel Best Negresco,Desconocida,,"¡Hola! He visto la buena nota que tenéis en Google con el Best Negresco. Vuestra web es potente, pero hemos detectado un par de puntos en el proceso de reserva que, con un pequeño ajuste, podrían aumentar las reservas directas y reducir las que se escapan a Booking. ¿Os puedo pasar un pantallazo con la idea? Sin compromiso.","4,1",3614,"59,5",977 37 03 92,https://www.besthotels.es/,,,,,,,,,,No,,,,,
Albatros,Salou,,"¡Hola! He visto vuestros apartamentos Albatros en Salou y la nota de 4 en Google está muy bien. Muchos hoteles como el vuestro se esfuerzan por conseguir reservas directas, pero pierden clientes en el último paso por pequeños detalles en la web. Tengo un pantallazo rápido que muestra cómo podríais evitar esas fugas y asegurar más reservas directas. ¿Os lo puedo pasar sin ningún compromiso?",4,854,59,977 38 19 02,,,,,,,,,,,No,,,,,
B&B Hotel Ciudad de Lleida,Lleida,,"¡Hola! Vi la buena nota de 4.1 que tenéis en Google para el B&B de Lleida. Imagino que el reto es convertir esa reputación en más reservas directas, sin que se escapen a Booking. Vemos una forma sencilla de mejorar esto. ¿Os puedo pasar un pantallazo rápido de cómo, sin compromiso?","4,1",1412,59,973 28 39 10,https://www.hotel-bb.com/hotel/ciudad-de-lleida,,,,,,,,,,No,,,,,
AC Hotel Tarragona;Hotel AC Tarragona,Tarragona,,"¡Hola! Veo que tenéis muy buena nota en Google. Imagino que al formar parte de una gran cadena, a veces es un reto captar directamente al cliente local de empresa o eventos. ¿Os parecería bien si os envío un pantallazo con una idea para conseguirlo, sin tocar para nada la web de Marriott?","4,1",1447,59,977 24 71 05,https://www.marriott.com/en-us/hotels/reuta-ac-hotel-tarragona/overview/,,,,,,,,,,No,,,,,
Les Brases,Sort,,"¡Hola! Me encanta la combinación de hotel y cocina del Pallars que tenéis en Les Brases. He visto vuestra web y creo que hay una forma muy sencilla de que consigáis más reservas directas, sin depender tanto de otros portales. ¿Os puedo enviar un pantallazo rápido para que veáis la idea? Sin compromiso.","3,8",1578,59,973 62 10 71,https://www.hotellesbrases.com,,,,,,,,,,No,,,,,
Casa Portola,Àger,,"¡Hola! He visto vuestra nota de 4.2 en Google, ¡enhorabuena! Imagino que os gustaría convertir esas valoraciones en más reservas directas, sin depender de portales y sus comisiones. ¿Os puedo enviar un pantallazo rápido de cómo se vería vuestro propio sistema de reservas? Es sin compromiso.","4,2",111,"58,5",973 45 51 42,,,,,,,,,,,No,,,,,
Casa,Desconocida,,"¡Buenas! Vi en la web de Casa Viva vuestro servicio para profesionales, ¡qué gran idea! Imagino que el reto es atraer proyectos de hostelería de más valor. Tenemos una idea muy visual para mejorar justo eso. ¿Os puedo enviar un pantallazo rápido con la propuesta, sin compromiso?",4,60,"58,5",973 08 90 42,,,,,,,,,,,No,,,,,
Refugi de Cabrera,Desconocida,,"¡Hola! Vi la notaza que tenéis en Google (4.7) en Refugi de Cabrera, ¡felicidades! He visto que la web actual (hecha en Wix) no os hace justicia y seguro que os hace perder reservas directas. Con un par de ajustes, podríais convertir muchas más visitas en clientes. ¿Os puedo pasar un pantallazo rápido de cómo se vería para que captéis más sin intermediarios? Sin compromiso.","4,7",39,"54,5",627 67 01 24,https://weblacabrera.wixsite.com/lacabrera,,,,,,,,,,No,,,,,
Garòs Ostau,Desconocida,,"¡Hola! Vi vuestro hotel Garòs Ostau y la nota de 4.9 en Google es increíble, ¡felicidades! Veo que la web no tiene para reservar directamente, y eso suele hacer que se pierdan reservas o se paguen comisiones. Tenemos una solución para que las reservas entren solas desde vuestra propia web. ¿Os puedo pasar un pantallazo rápido de cómo se vería, sin compromiso?","4,9",132,"54,5",680 85 50 58,https://www.garosostau.com,,,,,,,,,,No,,,,,
Casa Plaus,Desconocida,,"¡Hola! Vi vuestra pensión Casa Plaus, ¡qué buena nota tenéis en Google! Me fijé que en la web no se puede reservar directamente y me imagino que se os escapan clientes o dependen del teléfono. Tenemos una forma muy visual de solucionarlo. ¿Os puedo enviar un pantallazo de cómo quedaría, sin compromiso?","4,5",164,"54,5",657 02 35 30,https://www.casaplaus.com/,,,,,,,,,,No,,,,,
Hotel Els Encantats,Espot,,"¡Hola! Vi vuestro hotel Els Encantats, ¡qué buena pinta y qué notaza de 4.5 en Google! Me fijé que en la web no se puede reservar directamente, y sé el fastidio que son las comisiones de los portales. ¿Os puedo pasar un pantallazo rápido de cómo podríais tener vuestro propio sistema de reservas, sin compromiso, para vender más directo?","4,5",600,"54,5",680 27 69 07,http://hotelencantats.com,,,,,,,,,,No,,,,,
Refugi Amics de Montgarri,Desconocida,,"¡Hola! Vi vuestro refugio y la nota de 4.3 en Google es fantástica. Me da la sensación de que la web actual en Wix se os puede quedar corta para convertir esas buenas opiniones en reservas directas y sin comisiones. ¿Os puedo enviar un pantallazo rápido de cómo se vería, sin ningún compromiso?","4,3",2566,"54,5",639 49 45 46,https://www.refugimontgarri.com/,,,,,,,,,,No,,,,,
Hotel Pino Alto,Miami Platja,,Error generando,"3,5",1352,50,877 91 46 01,https://www.hotel-pinoalto.com/,,,,,,,,,,No,,,,,
Hotel Viaurèlia,Montblanc,,"¡Buenas! He visto vuestro hotel en Montblanc y la buena nota que tenéis en Google. Veo que las reservas online os llevan a portales externos, y sé que muchos hoteles de la zona pierden un buen pico en comisiones por esto. ¿Os puedo enviar un pantallazo de cómo podríais recibir todas las reservas directamente desde vuestra web, sin compromiso?","4,2",199,"49,5",977 86 17 90,https://www.hotelviaurelia.com/,,,,,,,,,,No,,,,,
Mas Montbrió Belvedere,Desconocida,,"¡Hola! Vimos vuestra increíble nota de 4.9 en Google, ¡enhorabuena por el trabajo en Mas Montbrió! Imaginamos que, con tanto éxito, depender de portales externos para llenar las habitaciones se debe llevar una buena parte del beneficio. Hay una forma muy sencilla de que esas reservas entren directamente por vuestra web. ¿Os puedo pasar un pantallazo de cómo se vería, sin compromiso?","4,9",141,"49,5",633 61 52 15,https://www.montbriobelvedere.com/,,,,,,,,,,No,,,,,
